name,acronym,category,state,state_name,city,region,website,academic_system_url,academic_system_name,qs_ranking,the_ranking,graduate_page_url,masters_count,phd_count,english_programmes,int_office_email,int_office_phone,int_office_url
Universidade Federal do Acre,UFAC,Federal,AC,AC,Rio Branco,Norte,https://www.ufac.br,https://sigaa.ufac.br/sigaa,SIGAA,,,https://www.ufac.br/site/ufac/propeg,14,4,Limited,,,
Universidade Federal do Amazonas,UFAM,Federal,AM,AM,Manaus,Norte,https://www.ufam.edu.br,https://sigaa.ufam.edu.br/sigaa,SIGAA,151-160 (QS WUR by Subject 2024),,https://www.ufam.edu.br/cursos/pos-graduacao,65,,Limited,,,https://www.ufam.edu.br/institucional/relacoes-internacionais
Universidade do Estado do Amazonas,UEA,State,AM,AM,Manaus,Norte,https://www.uea.edu.br,,,,,https://www.uea.edu.br/pesquisa,,,No,,,https://www.uea.edu.br/relacoes-internacionais
Universidade Estadual do Amapá,UEAP,State,AP,AP,Macapá,Norte,https://www.ueap.ap.gov.br,,,,,,,,No,,,
Universidade Federal do Amapá,UNIFAP,Federal,AP,AP,Macapá,Norte,https://www2.unifap.br,https://sigaa.unifap.br/sigaa,SIGAA,,,,,,No,,,
Universidade Federal Rural da Amazônia,UFRA,Federal,PA,PA,Belém,Norte,https://www.ufra.edu.br,https://sigaa.ufra.edu.br/sigaa,SIGAA,,,,,,No,,,
Universidade Federal do Oeste do Pará,UFOPA,Federal,PA,PA,Santarém,Norte,https://www.ufopa.edu.br,https://sigaa.ufopa.edu.br/sigaa,SIGAA,,,https://www.ufopa.edu.br/ensino/programas-de-pos-graduacao,,,No,,,https://www.ufopa.edu.br/institucional/assessoria-de-relacoes-nacionais-e-internacionais-arni
Universidade Federal do Pará,UFPA,Federal,PA,PA,Belém,Norte,https://www.ufpa.br,https://sigaa.ufpa.br/sigaa,SIGAA,1401+,1501+,https://propesp.ufpa.br,96,64,Limited,,,
Universidade Federal do Sul e Sudeste do Pará,UNIFESSPA,Federal,PA,PA,Marabá,Norte,https://www.unifesspa.edu.br,https://sigaa.unifesspa.edu.br/sigaa,SIGAA,,,https://www.unifesspa.edu.br/ensino/pos-graduacao,,,No,,,https://www.unifesspa.edu.br/assessoria-de-relacoes-nacionais-e-internacionais-arni
Universidade do Estado do Pará,UEPA,State,PA,PA,Belém,Norte,https://www.uepa.br,,,,,,,,No,,,
Universidade Federal de Rondônia,UNIR,Federal,RO,RO,Porto Velho,Norte,https://www.unir.br,https://sigaa.unir.br/sigaa,SIGAA,,,https://www.unir.br/propesq,,,No,,+55 (69) 2182-2000,
Universidade Estadual de Roraima,UERR,State,RR,RR,Boa Vista,Norte,https://www.uerr.edu.br,,,,,,6,3,No,faleconosco@uerr.eud.br,+55 (95) 99174-6685,
Universidade Federal de Roraima,UFRR,Federal,RR,RR,Boa Vista,Norte,https://ufrr.br,https://sigaa.ufrr.br/sigaa,SIGAA,,,,,,No,,,
Universidade Federal do Norte do Tocantins,UFNT,Federal,TO,TO,Araguaína,Norte,https://www.ufnt.edu.br,,,,,,,,No,,,
Universidade Federal do Tocantins,UFT,Federal,TO,TO,Palmas,Norte,https://ww3.uft.edu.br,https://sigaa.uft.edu.br/sigaa,SIGAA,,,,,,No,,,
Universidade de Gurupi,UNIRG,Municipal,TO,TO,Gurupi,Norte,https://www.unirg.edu.br,,,,,https://www.unirg.edu.br/posgraduacao,2,0,No,,,https://www.unirg.edu.br/internacionalizacao
Universidade do Tocantins,UNITINS,State,TO,TO,Palmas,Norte,https://www.unitins.br,,,,,https://www.unitins.br/pos-graduacao,,,No,,,https://www.unitins.br/diretoria-de-assuntos-internacionais-da-unitins
Universidade Estadual de Alagoas,UNEAL,State,AL,Alagoas,Arapiraca,Nordeste,https://www.uneal.edu.br,https://academico.uneal.edu.br,Sistema Acadêmico (SolisGe),,,https://www.uneal.edu.br/pos-graduacao,,,No dedicated page found,gabinete@uneal.edu.br,+55 (82) 3521-3019,
Universidade Estadual de Ciências da Saúde de Alagoas,UNCISAL,State,AL,Alagoas,Maceió,Nordeste,https://www.uncisal.edu.br,https://www.uncisal.edu.br/sistema-academico,Sistema Próprio,,,https://www.uncisal.edu.br/pos-graduacao,,,No dedicated page found,,,
